,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
21,Khruangbin,Cómo Te Quiero,0.608,0.279,7,-11.919,1,0.0282,0.62,0.901,0.51,0.431,126.531,audio_features,0dBh5j1RIYl1GrZnkZJ8aE,spotify:track:0dBh5j1RIYl1GrZnkZJ8aE,https://api.spotify.com/v1/tracks/0dBh5j1RIYl1GrZnkZJ8aE,https://api.spotify.com/v1/audio-analysis/0dBh5j1RIYl1GrZnkZJ8aE,242536,4
22,Freda Payne,I Get High,0.487,0.584,7,-12.128,0,0.0413,0.513,4.93e-06,0.131,0.738,129.484,audio_features,39ZxeUDHT7jEpRmpQP3W03,spotify:track:39ZxeUDHT7jEpRmpQP3W03,https://api.spotify.com/v1/tracks/39ZxeUDHT7jEpRmpQP3W03,https://api.spotify.com/v1/audio-analysis/39ZxeUDHT7jEpRmpQP3W03,191027,4
23,Quicksilver Messenger Service,Fresh Air - Remastered,0.452,0.757,6,-5.41,0,0.0396,0.409,0.344,0.135,0.567,115.546,audio_features,6Rb4xFCy3Hh5MJ88ehLXdc,spotify:track:6Rb4xFCy3Hh5MJ88ehLXdc,https://api.spotify.com/v1/tracks/6Rb4xFCy3Hh5MJ88ehLXdc,https://api.spotify.com/v1/audio-analysis/6Rb4xFCy3Hh5MJ88ehLXdc,319587,4
24,Fleetwood Mac,World Turning,0.676,0.379,2,-19.42,1,0.031,0.174,0.0072,0.0619,0.818,115.237,audio_features,6QvgyZ8xG2OFGjZsH3s8d3,spotify:track:6QvgyZ8xG2OFGjZsH3s8d3,https://api.spotify.com/v1/tracks/6QvgyZ8xG2OFGjZsH3s8d3,https://api.spotify.com/v1/audio-analysis/6QvgyZ8xG2OFGjZsH3s8d3,265933,4
25,Khruangbin,Lady and Man,0.728,0.691,7,-7.947,1,0.0578,0.000711,0.828,0.0912,0.901,82.207,audio_features,0tjTndnyFm1xQsaHGf2imW,spotify:track:0tjTndnyFm1xQsaHGf2imW,https://api.spotify.com/v1/tracks/0tjTndnyFm1xQsaHGf2imW,https://api.spotify.com/v1/audio-analysis/0tjTndnyFm1xQsaHGf2imW,258044,4
26,Khruangbin,Mr. White,0.625,0.499,5,-14.094,1,0.0742,0.483,0.87,0.305,0.783,88.223,audio_features,5EqGquh3ajBQjudpLLhJKy,spotify:track:5EqGquh3ajBQjudpLLhJKy,https://api.spotify.com/v1/tracks/5EqGquh3ajBQjudpLLhJKy,https://api.spotify.com/v1/audio-analysis/5EqGquh3ajBQjudpLLhJKy,298440,4
27,Khruangbin,White Gloves,0.635,0.3,2,-13.957,0,0.0285,0.707,0.829,0.574,0.772,91.452,audio_features,4AKUOaCRcoKTFnVI9LtsrN,spotify:track:4AKUOaCRcoKTFnVI9LtsrN,https://api.spotify.com/v1/tracks/4AKUOaCRcoKTFnVI9LtsrN,https://api.spotify.com/v1/audio-analysis/4AKUOaCRcoKTFnVI9LtsrN,218307,4
28,Al Green,How Can You Mend a Broken Heart,0.458,0.421,4,-6.96,1,0.0403,0.504,2.53e-05,0.0705,0.368,146.598,audio_features,6lUXneXZ9jc3HSMHgd8oqh,spotify:track:6lUXneXZ9jc3HSMHgd8oqh,https://api.spotify.com/v1/tracks/6lUXneXZ9jc3HSMHgd8oqh,https://api.spotify.com/v1/audio-analysis/6lUXneXZ9jc3HSMHgd8oqh,383503,3
29,Thundercat,A Fan's Mail (Tron Song Suite II),0.494,0.657,2,-13.345,0,0.0927,0.819,0.419,0.113,0.348,191.468,audio_features,6qXNCWY49AaZ5nfp9AJIc5,spotify:track:6qXNCWY49AaZ5nfp9AJIc5,https://api.spotify.com/v1/tracks/6qXNCWY49AaZ5nfp9AJIc5,https://api.spotify.com/v1/audio-analysis/6qXNCWY49AaZ5nfp9AJIc5,158938,4
30,Khruangbin,Shades of Man,0.659,0.498,4,-8.301,0,0.0597,0.0475,0.855,0.777,0.796,82.633,audio_features,0R1zq6cpERr255n3R4kaxM,spotify:track:0R1zq6cpERr255n3R4kaxM,https://api.spotify.com/v1/tracks/0R1zq6cpERr255n3R4kaxM,https://api.spotify.com/v1/audio-analysis/0R1zq6cpERr255n3R4kaxM,227148,4
31,Etta James,I'd Rather Go Blind,0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,audio_features,1kPBT8S2wJFNAyBMnGVZgL,spotify:track:1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/tracks/1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/audio-analysis/1kPBT8S2wJFNAyBMnGVZgL,156653,3
32,Khruangbin,Evan Finds the Third Room,0.781,0.386,10,-9.974,0,0.0827,0.00998,0.567,0.166,0.828,105.812,audio_features,1MheNNJZYdcOTKwZyM8alC,spotify:track:1MheNNJZYdcOTKwZyM8alC,https://api.spotify.com/v1/tracks/1MheNNJZYdcOTKwZyM8alC,https://api.spotify.com/v1/audio-analysis/1MheNNJZYdcOTKwZyM8alC,240743,4
33,The Stylistics,"Betcha By Golly, Wow",0.347,0.53,3,-7.949,1,0.0293,0.522,0.0,0.298,0.492,140.899,audio_features,6TrZdWmmsJTLjkka3tBZwB,spotify:track:6TrZdWmmsJTLjkka3tBZwB,https://api.spotify.com/v1/tracks/6TrZdWmmsJTLjkka3tBZwB,https://api.spotify.com/v1/audio-analysis/6TrZdWmmsJTLjkka3tBZwB,198920,4
34,Khruangbin,A Hymn,0.631,0.215,9,-19.314,0,0.0403,0.244,0.911,0.13,0.166,124.25,audio_features,72zs5wF0eBArFNVQADxRRI,spotify:track:72zs5wF0eBArFNVQADxRRI,https://api.spotify.com/v1/tracks/72zs5wF0eBArFNVQADxRRI,https://api.spotify.com/v1/audio-analysis/72zs5wF0eBArFNVQADxRRI,190534,4
35,Sade,Your Love Is King,0.742,0.422,9,-6.797,1,0.0309,0.559,4.14e-05,0.0402,0.592,134.624,audio_features,2DcSehEocZhDogCJKCnXb3,spotify:track:2DcSehEocZhDogCJKCnXb3,https://api.spotify.com/v1/tracks/2DcSehEocZhDogCJKCnXb3,https://api.spotify.com/v1/audio-analysis/2DcSehEocZhDogCJKCnXb3,219427,3
36,Al Green,I'm Still in Love with You,0.712,0.399,0,-9.551,1,0.0282,0.159,0.000377,0.0881,0.799,97.918,audio_features,2GEDd9qtGXU7IvGgqTF6Uj,spotify:track:2GEDd9qtGXU7IvGgqTF6Uj,https://api.spotify.com/v1/tracks/2GEDd9qtGXU7IvGgqTF6Uj,https://api.spotify.com/v1/audio-analysis/2GEDd9qtGXU7IvGgqTF6Uj,191636,4
37,Gladys Knight & The Pips,"When You're Far Away - 12"" Version",0.925,0.556,11,-8.619,0,0.0942,0.0427,0.000644,0.0396,0.936,111.348,audio_features,0VKdVEuUK3asG0cRpxvzFv,spotify:track:0VKdVEuUK3asG0cRpxvzFv,https://api.spotify.com/v1/tracks/0VKdVEuUK3asG0cRpxvzFv,https://api.spotify.com/v1/audio-analysis/0VKdVEuUK3asG0cRpxvzFv,420067,4
